"For easy Sign up and Log in we recommend:","Unsere Empfehlung f&uuml;r bequemes Registrieren und Anmelden:"
"Error: You could not be logged in with ShopLogin, because your ShopLogin account is not confirmed. ShopLogin sent you an activiation link to your email address. Please click on the included link to activate your account.", "Fehler: Sie konnten nicht mit ShopLogin angemeldet werden, da Ihr Shoplogin-Account nicht bestätigt wurde. ShopLogin hat Ihnen einen Aktivierungslink per E-Mail geschickt. Bitte klicken Sie auf den enthaltenen Link um Ihr Konto zu aktivieren."
"Resend&nbsp;Activation&nbsp;Email", "Aktivierungs-eMail&nbsp;erneut&nbsp;senden"
"Customers who viewed this article also viewed:", "Kunden, die diesen Artikel angesehen haben, haben auch angesehen:"
"You might like these products:", "Diese Produkte k&ouml;nnten Sie interessieren:"
"Currently popular products:", "Zurzeit beliebte Produkte:"
"Interesting products", "Interessante Produkte"
"Show ShopLogin Seal", "ShopLogin-Siegel anzeigen"
"Product Page &quot;Also viewed&quot;", "Produktseite Produktseite &quot;Auch angesehen&quot;"
"Right Bar &quot;Interesting Products&quot;", "Rechte Spalte &quot;Interessante Produkte&quot;"
"Homepage &quot;Popular Products&quot;", "Startseite &quot;Beliebte Produkte&quot;"
"Homepage &quot;Interesting Products&quot;", "Startseite &quot;Interessante Produkte&quot;"
"Show ShopLogin Seal", "ShopLogin-Siegel anzeigen"
"Wishlist by ShopLogin", "Wunschzettel von ShopLogin"
"Product Recommendation", "Produktempfehlungen von ShopLogin"
"Login with ShopLogin", "Login mit ShopLogin"
"Product Page \"Also viewed\"", "Produktseite \"Auch angesehen\""
"Homepage \"Interesting Products\"", "Startseite \"Interessante Produkte\""
"Homepage \"Popular Products\"", "Startseite \"Beliebte Produkte\""
"Right Bar \"Interesting Products\"", "Seitenleiste \"Interessante Produkte\""
